index_date,car_production_forecast
2021-11-01,139262.2445342443
2021-12-01,155781.08908343886
2022-01-01,152333.92560055054
2022-02-01,157512.1421723807
2022-03-01,166425.37335896387
2022-04-01,167979.79925054475
2022-05-01,166895.6654171487
2022-06-01,150693.3887701269
2022-07-01,144161.2691948412
2022-08-01,145495.25045040585
